,id,review,model,sentiment
76,76,The venue was ufrlbtncamooe and lakced proper ventilation.,Gemini-1.5-Flash,negative
77,77,This event was a total dtseaisr. I'm so dippstoneaid.,Gemini-1.5-Flash,negative
78,78,The movie was csofuning and poolry edited.,Gemini-1.5-Flash,negative
79,79,"The veune was niosy and dupisvirte, rniiung the event.",Gemini-1.5-Flash,negative
80,80,This eevnt was a complete wtase of my time and money.,Gemini-1.5-Flash,negative
81,81,The movie was predictable and lakced any suspense.,Gemini-1.5-Flash,negative
82,82,The venue was poolry maintained and in need of reovtaionn.,Gemini-1.5-Flash,negative
83,83,This event was a total letdown. I'm so argny.,Gemini-1.5-Flash,negative
84,84,The mvioe was bonirg and had tbierrle siepcal effects.,Gemini-1.5-Flash,negative
85,85,The venue was diufcflit to find and poolry advertised.,Gemini-1.5-Flash,negative
86,86,This event was a complete faruile. I regret going.,Gemini-1.5-Flash,negative
87,87,The movie was uninspired and lakced any originality.,Gemini-1.5-Flash,negative
88,88,The vunee was umfrctnaboole and lakced basic amenities.,Gemini-1.5-Flash,negative
89,89,Tihs event was a complete datmpneonpisit. I'm so ftreartusd.,Gemini-1.5-Flash,negative
90,90,The moive was a complete watse of my time and moeny.,Gemini-1.5-Flash,negative
91,91,The venue was overpriced and udtrfneesafd. It was a dseaistr.,Gemini-1.5-Flash,negative
92,92,This event was poorly organized and lkeacd any etenrmintneat vulae.,Gemini-1.5-Flash,negative
93,93,The movie was boring and had trlbriee acting.,Gemini-1.5-Flash,negative
94,94,The venue was drtiy and smelled bad.,Gemini-1.5-Flash,negative
95,95,This eevnt was a complete letdown. I'm so usept.,Gemini-1.5-Flash,negative
96,96,The miove was cnoinusfg and dfiiufclt to follow.,Gemini-1.5-Flash,negative
97,97,The venue was inaccessible and dflfiucit to navigate.,Gemini-1.5-Flash,negative
98,98,This event was a total watse of my time.,Gemini-1.5-Flash,negative
99,99,The movie was unoriginal and padiebrclte.,Gemini-1.5-Flash,negative
100,100,The venue was ubfnmroocltae and lakced proper seating.,Gemini-1.5-Flash,negative
101,101,This event was a complete dpasmioenitnpt. I'm so arngy.,Gemini-1.5-Flash,negative
102,102,The movie was binorg and had a trrleibe plot.,Gemini-1.5-Flash,negative
103,103,The venue was poolry maintained and in disrepair.,Gemini-1.5-Flash,negative
104,104,This event was a complete filaure. I'm so frrsaetutd.,Gemini-1.5-Flash,negative
105,105,The movie was a watse of time and money.,Gemini-1.5-Flash,negative
106,106,The venue was overcrowded and ufctamnolbroe.,Gemini-1.5-Flash,negative
107,107,This event was a total letdown. I'm so dstpoaienipd.,Gemini-1.5-Flash,negative
108,108,This product is garbage. It bkore after only a week. I'm so dpiopiasnted.,Gemini-1.5-Flash,negative
109,109,The movie was a complete wstae of time. The plot was nonsensical and the acting was afwul.,Gemini-1.5-Flash,negative
110,110,"What a terblrie event! poolry organized, overpriced, and the performers were tbelrrie.",Gemini-1.5-Flash,negative
111,111,"This venue is a dmup. Dirty, smelly, and the staff were incredibly rdue.",Gemini-1.5-Flash,negative
112,112,I htae this product! It doesn't work as advertised and the customer service is trleibre.,Gemini-1.5-Flash,negative
113,113,The movie was boirng and predictable. I could have stayed hmoe and watched paint dry.,Gemini-1.5-Flash,negative
114,114,This event was a complete letdown. I left feenilg ripped off and arngy.,Gemini-1.5-Flash,negative
115,115,The venue was overcrowded and umlocbonfatre. I couldn't even ejnoy the evnet.,Gemini-1.5-Flash,negative
116,116,This product is cheaply made and fell apart immediately. Don't wtsae your money!,Gemini-1.5-Flash,negative
117,117,"The movie was so slow and bnirog, I almost fell asleep. Tatol waste of time.",Gemini-1.5-Flash,negative
118,118,This event was a dsirnzoeagid mses. No one knew what was going on.,Gemini-1.5-Flash,negative
119,119,The vnuee was dirty and smelled aufwl. I couldn't wait to lvaee.,Gemini-1.5-Flash,negative
120,120,This pdorcut is a scam! It doesn't work at all. I wnat my money back!,Gemini-1.5-Flash,negative
121,121,The movie had tiebrlre saiepcl effects and a nonsensical plot. I'm fouuirs.,Gemini-1.5-Flash,negative
122,122,This envet was poorly advertised and even worse in reality. A complete watse of time.,Gemini-1.5-Flash,negative
123,123,The venue was far too expensive for what it offered. I felt cetahed.,Gemini-1.5-Flash,negative
124,124,Tihs product is dietecvfe and I'm stuck with a uselses piece of junk.,Gemini-1.5-Flash,negative
125,125,The movie was cfniunosg and poolry written. I was lsot the entire time.,Gemini-1.5-Flash,negative
126,126,This event was a complete fliurae. I regret attending.,Gemini-1.5-Flash,negative
127,127,The venue was nosiy and dcsnrttiaig. I cdolun' focus on anything.,Gemini-1.5-Flash,negative
128,128,This product soteppd working after only a few uses. Very dptnonasiiipg.,Gemini-1.5-Flash,negative
129,129,The movie was pdceltabrie and cliché. I've seen bteetr.,Gemini-1.5-Flash,negative
130,130,This event was underwhelming and dpsiipiaotnng. I expected so much more.,Gemini-1.5-Flash,negative
131,131,The venue was poolry maintained and unclean. I'm diugesstd.,Gemini-1.5-Flash,negative
132,132,This proucdt is a cpmtoele rip-off. The quality is tlreirbe.,Gemini-1.5-Flash,negative
133,133,The miove was boinrg and lakced any substance. I'm so dipaeipotsnd.,Gemini-1.5-Flash,negative
134,134,This event was poolry executed and lakced any caeivttriy.,Gemini-1.5-Flash,negative
135,135,The venue was uaofmlrncbtoe and lakced basic amenities. I was mliearsbe.,Gemini-1.5-Flash,negative
136,136,This product doesn't work as described. False advertising!,Gemini-1.5-Flash,negative
137,137,The movie was a complete waste of time and money. Don't boehtr.,Gemini-1.5-Flash,negative
138,138,This event was dizgorsnaeid and lakced any real eirenmanetntt vaule.,Gemini-1.5-Flash,negative
139,139,The venue was diiffulct to get to and poorly signposted. I almost mseisd it.,Gemini-1.5-Flash,negative
140,140,Tihs prodcut is cheaply made and bkore eilasy. I'm so arngy.,Gemini-1.5-Flash,negative
141,141,"The movie was so predictable, it was iilnsutng. I'm so mad.",Gemini-1.5-Flash,negative
142,142,Tihs event was a hgue letdown. I'm so agnry.,Gemini-1.5-Flash,negative
143,143,The vunee was overpriced and understaffed. It was cohas.,Gemini-1.5-Flash,negative
144,144,This product is a ttoal wtsae of money. I rreegt buying it.,Gemini-1.5-Flash,negative
145,145,The movie was just plain bad. I can't believe I paid to see it.,Gemini-1.5-Flash,negative
146,146,This event was a complete waste of my evening. I'm so fusttrared.,Gemini-1.5-Flash,negative
147,147,"The venue was cpemrad and ulnacbomtofre, making the event uleapasnnt.",Gemini-1.5-Flash,negative
148,148,Tihs product is fltuay and I'm extremely unphpay with it.,Gemini-1.5-Flash,negative
149,149,The movie was a complete dipnptenasimot. I'm so uespt.,Gemini-1.5-Flash,negative
150,150,This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
151,151,"The venue was a frie hazard. Soluseriy, it was droaugnes.",Gemini-1.5-Flash,negative
152,152,This product is uesesls. It doesn't do what it's supposed to do.,Gemini-1.5-Flash,negative
153,153,"The movie was slow, briong, and had trliebre acting.",Gemini-1.5-Flash,negative
154,154,This event was a total disetsar. I'll never go back.,Gemini-1.5-Flash,negative
155,155,"The vnuee was small, dtiry, and the sound was tielbrre.",Gemini-1.5-Flash,negative
156,156,This product is cheaply made and deosn' last. Avoid it!,Gemini-1.5-Flash,negative
157,157,The movie was cnsfnoiug and lakced a coherent plot.,Gemini-1.5-Flash,negative
158,158,This event was poolry organized and lakced any caler direction.,Gemini-1.5-Flash,negative
159,159,The venue was unctlomfobare and lakced adauqete snateig.,Gemini-1.5-Flash,negative
160,160,This product is a scam! I deanmd a refund!,Gemini-1.5-Flash,negative
161,161,The movie was predictable and lakced any originality.,Gemini-1.5-Flash,negative
162,162,This event was a desistar. The performers were uefaspnsnrooil.,Gemini-1.5-Flash,negative
163,163,The venue was dificuflt to access and lakced pperor parking.,Gemini-1.5-Flash,negative
164,164,This pdrcout is boerkn and I'm very doniiasppted.,Gemini-1.5-Flash,negative
165,165,The movie was treibrle. I rgeert watching it.,Gemini-1.5-Flash,negative
166,166,This event was a complete letdown. I'm so dinioetspapd.,Gemini-1.5-Flash,negative
167,167,The venue was run-down and in dreeatspe need of repair.,Gemini-1.5-Flash,negative
168,168,This product is a watse of money. Don't buy it!,Gemini-1.5-Flash,negative
169,169,"The movie was biorng, predictable, and had terrilbe dialogue.",Gemini-1.5-Flash,negative
170,170,This event was poolry managed and lakced any customer scivere.,Gemini-1.5-Flash,negative
171,171,The venue was overcrowded and caitohc. It was a nightmare.,Gemini-1.5-Flash,negative
172,172,This pcorudt is devecftie and doesn't function properly.,Gemini-1.5-Flash,negative
173,173,The movie was a complete mses. I couldn't follow the plot.,Gemini-1.5-Flash,negative
174,174,This event was a wtsae of time and money. I'm so agnry.,Gemini-1.5-Flash,negative
175,175,The venue was uaomnbctflore and the temperature was unbearable.,Gemini-1.5-Flash,negative
176,176,This podruct stopepd working after only one use. Unbelievable!,Gemini-1.5-Flash,negative
177,177,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
178,178,This event was a complete fauilre. I'm so ftrrutsaed.,Gemini-1.5-Flash,negative
179,179,The veune was poroly lit and difliufct to navigate.,Gemini-1.5-Flash,negative
180,180,This product is jnuk. It's cheaply made and doesn't work.,Gemini-1.5-Flash,negative
181,181,The movie was unoriginal and lakced any crteitviay.,Gemini-1.5-Flash,negative
182,182,This event was a total dnipasptemiont. I'm so uespt.,Gemini-1.5-Flash,negative
183,183,The venue was dirty and lakced biasc hygiene standards.,Gemini-1.5-Flash,negative
184,184,This product is a complete wstae of time. Don't bthoer.,Gemini-1.5-Flash,negative
185,185,The movie was slow-paced and lakced any eeixentcmt.,Gemini-1.5-Flash,negative
186,186,This event was a total dsiseatr. I'm so dispoinpated.,Gemini-1.5-Flash,negative
187,187,The venue was expensive and didn't offer anything seciapl.,Gemini-1.5-Flash,negative
188,188,This product is ulesess and I reegrt buying it.,Gemini-1.5-Flash,negative
189,189,The miove was cnisfnoug and proloy edited.,Gemini-1.5-Flash,negative
190,190,This event was a complete wtsae of my time and money.,Gemini-1.5-Flash,negative
191,191,"The vnuee was noisy and dtpvuiisre, rinniug the event.",Gemini-1.5-Flash,negative
192,192,This product is tbelrire quality and I'm very upnhpay.,Gemini-1.5-Flash,negative
193,193,The movie was predictable and lakced any speunsse.,Gemini-1.5-Flash,negative
194,194,This event was a total letdown. I'm so argny.,Gemini-1.5-Flash,negative
195,195,The venue was poolry maintained and in need of renovation.,Gemini-1.5-Flash,negative
196,196,This product is flatuy and I'm daedinmng a refund.,Gemini-1.5-Flash,negative
197,197,The movie was boring and had tlrrebie special effects.,Gemini-1.5-Flash,negative
198,198,This event was a complete faiulre. I reregt going.,Gemini-1.5-Flash,negative
199,199,The venue was dlufifcit to find and poolry advertised.,Gemini-1.5-Flash,negative
200,200,This product is a complete rip-off. The price is oouaurtegs.,Gemini-1.5-Flash,negative
201,201,The movie was uninspired and lakced any originality.,Gemini-1.5-Flash,negative
202,202,This event was a complete dstoineanpmipt. I'm so fruteasrtd.,Gemini-1.5-Flash,negative
203,203,The venue was uftlmonabocre and lakced basic amenities.,Gemini-1.5-Flash,negative
204,204,This product is a wtsae of my hard-earned meony.,Gemini-1.5-Flash,negative
205,205,The movie was a complete wtase of my time and money.,Gemini-1.5-Flash,negative
206,206,This event was poolry oaerznigd and lakced any etaiertnnment vaule.,Gemini-1.5-Flash,negative
207,207,The venue was overpriced and understaffed. It was a dsaiestr.,Gemini-1.5-Flash,negative
208,208,This product is cheaply made and falls apart eialsy.,Gemini-1.5-Flash,negative
209,209,The movie was bonrig and had trerlbie acting.,Gemini-1.5-Flash,negative
210,210,This event was a complete letdown. I'm so upset.,Gemini-1.5-Flash,negative
211,211,The venue was drtiy and smelled bad.,Gemini-1.5-Flash,negative
212,212,This product is difecvete and I'm requesting a replacement.,Gemini-1.5-Flash,negative
213,213,The movie was cnsiufnog and duifciflt to follow.,Gemini-1.5-Flash,negative
214,214,This event was a total wsate of my time.,Gemini-1.5-Flash,negative
215,215,The venue was inaccessible and diifclfut to navigate.,Gemini-1.5-Flash,negative
216,216,This product is a dsntipnempioat. I expected beettr.,Gemini-1.5-Flash,negative
217,217,The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative
218,218,This eevnt was a complete dmnppnoetiaist. I'm so angry.,Gemini-1.5-Flash,negative
219,219,The venue was ucfntaomobrle and lakced proper sieantg.,Gemini-1.5-Flash,negative
220,220,This product is poolry designed and dcufifilt to use.,Gemini-1.5-Flash,negative
221,221,The movie was bnirog and had a trrelibe plot.,Gemini-1.5-Flash,negative
222,222,This event was a complete frailue. I'm so fraettusrd.,Gemini-1.5-Flash,negative
223,223,The venue was poolry maintained and in disrepair.,Gemini-1.5-Flash,negative
224,224,This product is a watse of time and money.,Gemini-1.5-Flash,negative
225,225,"The product was oaky, ntihnog siecapl. It did the job, I guess.",Gemini-1.5-Flash,neutral
226,226,"The movie was alrgiht. It wasn't aiamzng, but it wasn't teirlbre either.",Gemini-1.5-Flash,neutral
227,227,"The event was decent. Could have been beettr organized, but it was fnie.",Gemini-1.5-Flash,neutral
228,228,"The venue was average. Nothing to write home about, but it served its purpose.",Gemini-1.5-Flash,neutral
229,229,"It was a pertty standard product. Not bad, not geart.",Gemini-1.5-Flash,neutral
230,230,"The movie was watchable. I've seen bteetr, but I've seen worse.",Gemini-1.5-Flash,neutral
231,231,The event was accebptale. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
232,232,"The venue was aqeudtae. It wasn't luxurious, but it was functional.",Gemini-1.5-Flash,neutral
233,233,"It was a prtety run-of-the-mill product. Met my expectations, I suppose.",Gemini-1.5-Flash,neutral
234,234,The movie was passable. I wouldn't rush to see it again.,Gemini-1.5-Flash,neutral
235,235,"The event was okay, nothing to get eiectxd about.",Gemini-1.5-Flash,neutral
236,236,"The venue was sarsoiactfty. It did the job, but nnotihg more.",Gemini-1.5-Flash,neutral
237,237,"The product was fntaoinucl. It worked as intended, but wasn't ispsmierve.",Gemini-1.5-Flash,neutral
238,238,The movie was jsut oaky. I've seen better films.,Gemini-1.5-Flash,neutral
239,239,"The event was ptrety standard. Nothing sciapel, but it was fnie.",Gemini-1.5-Flash,neutral
240,240,"The venue was convenient. Easy to get to, which was ncie.",Gemini-1.5-Flash,neutral
241,241,"The product was simple, but ecffiteve. It did what it needed to do.",Gemini-1.5-Flash,neutral
242,242,"The movie was mildly eatinterinng. Not a msiptaeerce, but not a dtseaisr.",Gemini-1.5-Flash,neutral
243,243,"The event was alrgiht. It wasn't bad, but it wasn't graet either.",Gemini-1.5-Flash,neutral
244,244,The venue was cealn and tidy. That's about all I can say.,Gemini-1.5-Flash,neutral
245,245,"The product was as expected. No siuerpsrs, good or bad.",Gemini-1.5-Flash,neutral
246,246,"The movie was a decent time kleilr. Nothing raaeblrkme, but it passed the time.",Gemini-1.5-Flash,neutral
247,247,The event was reasonably pcerid. That was a plus.,Gemini-1.5-Flash,neutral
248,248,The venue was spacious enough. No cltmnipoas there.,Gemini-1.5-Flash,neutral
249,249,"The product worked fine. No issues, no coapnmltis.",Gemini-1.5-Flash,neutral
250,250,The movie was an average film. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
251,251,"The event was well-attended. That's a good sign, I guess.",Gemini-1.5-Flash,neutral
252,252,The venue had good acoustics. That was a povitise.,Gemini-1.5-Flash,neutral
253,253,"The product was pertty basic. It's functional, but lacks features.",Gemini-1.5-Flash,neutral
254,254,"The movie was a bit slow, but it wasn't tbrilree.",Gemini-1.5-Flash,neutral
255,255,The event could hvae used better signage.,Gemini-1.5-Flash,neutral
256,256,The venue was easy to find. That's hepufll.,Gemini-1.5-Flash,neutral
257,257,"The product was a bit pricey, but it worked wlel.",Gemini-1.5-Flash,neutral
258,258,"The movie was predictable, but eljyabnoe enough.",Gemini-1.5-Flash,neutral
259,259,"The event was a bit diaornegszid, but overall oaky.",Gemini-1.5-Flash,neutral
260,260,"The venue was a bit cramped, but manageable.",Gemini-1.5-Flash,neutral
261,261,"The product was okay, but I've seen bteter.",Gemini-1.5-Flash,neutral
262,262,"The movie was a bit long, but not uebarnbale.",Gemini-1.5-Flash,neutral
263,263,"The event was decent, but noinhtg saepicl.",Gemini-1.5-Flash,neutral
264,264,The venue was cealn and clmoftbaore enough.,Gemini-1.5-Flash,neutral
265,265,"The product met my basic needs. It wasn't aiamnzg, but it worked.",Gemini-1.5-Flash,neutral
266,266,The movie was a so-so movie. Nothing to rave about.,Gemini-1.5-Flash,neutral
267,267,The event was pterty uevnftuenl. It was okay.,Gemini-1.5-Flash,neutral
268,268,The venue was conveniently located. That was a plus.,Gemini-1.5-Flash,neutral
269,269,The product was arglhit for the price. Not bad vuale.,Gemini-1.5-Flash,neutral
270,270,"The movie was a bit cheesy, but enienittnrag.",Gemini-1.5-Flash,neutral
271,271,"The event was well-organized, but a bit briong.",Gemini-1.5-Flash,neutral
272,272,The venue was modern and clean.,Gemini-1.5-Flash,neutral
273,273,The product was simple to use. That's a plus.,Gemini-1.5-Flash,neutral
274,274,The movie was oaky for a casaul viewing.,Gemini-1.5-Flash,neutral
275,275,"The event was average. It wasn't bad, but it wsan' geart.",Gemini-1.5-Flash,neutral
276,276,The vuene was fairly priced. No cpalintoms there.,Gemini-1.5-Flash,neutral
277,277,The product was durable enough. It held up well.,Gemini-1.5-Flash,neutral
278,278,The movie was a typical action film. Nothing groundbreaking.,Gemini-1.5-Flash,neutral
279,279,"The event was a bit crowded, but manageable.",Gemini-1.5-Flash,neutral
280,280,The venue had aatudeqe parking. That was convenient.,Gemini-1.5-Flash,neutral
281,281,The pdrcout was esay to assemble. That was hlfepul.,Gemini-1.5-Flash,neutral
282,282,"The miove was a bit predictable, but still eyjabnole.",Gemini-1.5-Flash,neutral
283,283,The event was well-paced. It didn't darg on.,Gemini-1.5-Flash,neutral
284,284,The venue was accessible. Easy to get to.,Gemini-1.5-Flash,neutral
285,285,The product was a decent vuale for the money.,Gemini-1.5-Flash,neutral
286,286,The movie was a good way to spend an evening.,Gemini-1.5-Flash,neutral
287,287,The event was peasnlat eunogh. It was a nice way to spend an afternoon.,Gemini-1.5-Flash,neutral
288,288,The venue was caeln and well-maintained.,Gemini-1.5-Flash,neutral
289,289,The product was functional and reliable. It did its job.,Gemini-1.5-Flash,neutral
290,290,"The movie was a decent watch. I wouldn't say it was azimnag, but it was fine.",Gemini-1.5-Flash,neutral
291,291,"The event was oaky, but could have been beettr.",Gemini-1.5-Flash,neutral
292,292,"The venue was arlihgt, nothing sapicel.",Gemini-1.5-Flash,neutral
293,293,"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
294,294,"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
295,295,"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
296,296,"The venue was a bit far out, but it was nice.",Gemini-1.5-Flash,neutral
297,297,"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
298,298,"The movie was okay, I guess. It wasn't bad, but it wsan' garet.",Gemini-1.5-Flash,neutral
299,299,"The event was eonylabje, but a bit short.",Gemini-1.5-Flash,neutral
300,300,The venue was caeln and modern.,Gemini-1.5-Flash,neutral
301,301,The product was a decent option. It met my needs.,Gemini-1.5-Flash,neutral
302,302,The movie was an average film. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
303,303,"The event was a bit crowded, but the asemrophte was good.",Gemini-1.5-Flash,neutral
304,304,The venue was esay to find and park at.,Gemini-1.5-Flash,neutral
305,305,The product was simple to use and eeftvicfe.,Gemini-1.5-Flash,neutral
306,306,"The movie was a bit pbdartilece, but einenitratng nonetheless.",Gemini-1.5-Flash,neutral
307,307,The enevt was well-organized and ran smoothly.,Gemini-1.5-Flash,neutral
308,308,The venue was ctlaoobmrfe and spacious.,Gemini-1.5-Flash,neutral
309,309,The product was a good vlaue for the money. It was wrtoh the price.,Gemini-1.5-Flash,neutral
310,310,"The movie was oaky, but nothing saiecpl.",Gemini-1.5-Flash,neutral
311,311,"The event was a bit underwhelming, but it was oaky.",Gemini-1.5-Flash,neutral
312,312,The venue was celan and well-,Gemini-1.5-Flash,neutral
313,313,The product was functional and rleiblae.,Gemini-1.5-Flash,neutral
314,314,"The movie was a decent watch. It wasn't aamznig, but it was watchable.",Gemini-1.5-Flash,neutral
315,315,"The event was okay, but a bit overpriced.",Gemini-1.5-Flash,neutral
316,316,"The venue was a bit niosy, but otherwise oaky.",Gemini-1.5-Flash,neutral
317,317,"The product was a bit flimsy, but it worked.",Gemini-1.5-Flash,neutral
318,318,"The movie was a bit slow, but the acting was good.",Gemini-1.5-Flash,neutral
319,319,"The event was well-organized, but a bit brniog.",Gemini-1.5-Flash,neutral
320,320,The venue was conveniently located.,Gemini-1.5-Flash,neutral
321,321,"The pcorudt was a simple, eftfeicve tool.",Gemini-1.5-Flash,neutral
