,review,model,sentiment
112,I hate this product! It doesn't work as advertised and the customer service is terrible.,Gemini-1.5-Flash,negative
113,The movie was boring and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
114,This event was a complete letdown.  I left feeling ripped off and angry.,Gemini-1.5-Flash,negative
115,The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.,Gemini-1.5-Flash,negative
116,This product is cheaply made and fell apart immediately.  Don't waste your money!,Gemini-1.5-Flash,negative
117,"The movie was so slow and boring, I almost fell asleep.  Total waste of time.",Gemini-1.5-Flash,negative
118,This event was a disorganized mess.  No one knew what was going on.,Gemini-1.5-Flash,negative
119,The venue was dirty and smelled awful.  I couldn't wait to leave.,Gemini-1.5-Flash,negative
120,This product is a scam! It doesn't work at all.  I want my money back!,Gemini-1.5-Flash,negative
121,The movie had terrible special effects and a nonsensical plot.  I'm furious.,Gemini-1.5-Flash,negative
122,This event was poorly advertised and even worse in reality.  A complete waste of time.,Gemini-1.5-Flash,negative
123,The venue was far too expensive for what it offered.  I felt cheated.,Gemini-1.5-Flash,negative
124,This product is defective and I'm stuck with a useless piece of junk.,Gemini-1.5-Flash,negative
125,The movie was confusing and poorly written.  I was lost the entire time.,Gemini-1.5-Flash,negative
126,This event was a complete failure.  I regret attending.,Gemini-1.5-Flash,negative
127,The venue was noisy and distracting.  I couldn't focus on anything.,Gemini-1.5-Flash,negative
128,This product stopped working after only a few uses.  Very disappointing.,Gemini-1.5-Flash,negative
129,The movie was predictable and cliché.  I've seen better.,Gemini-1.5-Flash,negative
130,This event was underwhelming and disappointing.  I expected so much more.,Gemini-1.5-Flash,negative
131,The venue was poorly maintained and unclean.  I'm disgusted.,Gemini-1.5-Flash,negative
132,This product is a complete rip-off.  The quality is terrible.,Gemini-1.5-Flash,negative
133,The movie was boring and lacked any substance.  I'm so disappointed.,Gemini-1.5-Flash,negative
134,This event was poorly executed and lacked any creativity.,Gemini-1.5-Flash,negative
135,The venue was uncomfortable and lacked basic amenities.  I was miserable.,Gemini-1.5-Flash,negative
136,This product doesn't work as described.  False advertising!,Gemini-1.5-Flash,negative
137,The movie was a complete waste of time and money.  Don't bother.,Gemini-1.5-Flash,negative
138,This event was disorganized and lacked any real entertainment value.,Gemini-1.5-Flash,negative
139,The venue was difficult to get to and poorly signposted. I almost missed it.,Gemini-1.5-Flash,negative
140,This product is cheaply made and broke easily.  I'm so angry.,Gemini-1.5-Flash,negative
141,"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative
142,This event was a huge letdown.  I'm so angry.,Gemini-1.5-Flash,negative
143,The venue was overpriced and understaffed.  It was chaos.,Gemini-1.5-Flash,negative
144,This product is a total waste of money.  I regret buying it.,Gemini-1.5-Flash,negative
145,The movie was just plain bad.  I can't believe I paid to see it.,Gemini-1.5-Flash,negative
146,This event was a complete waste of my evening.  I'm so frustrated.,Gemini-1.5-Flash,negative
147,"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative
148,This product is faulty and I'm extremely unhappy with it.,Gemini-1.5-Flash,negative
149,The movie was a complete disappointment.  I'm so upset.,Gemini-1.5-Flash,negative
150,This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
151,"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative
152,This product is useless.  It doesn't do what it's supposed to do.,Gemini-1.5-Flash,negative
153,"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative
154,This event was a total disaster.  I'll never go back.,Gemini-1.5-Flash,negative
155,"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative
156,This product is cheaply made and doesn't last.  Avoid it!,Gemini-1.5-Flash,negative
157,The movie was confusing and lacked a coherent plot.,Gemini-1.5-Flash,negative
158,This event was poorly organized and lacked any clear direction.,Gemini-1.5-Flash,negative
159,The venue was uncomfortable and lacked adequate seating.,Gemini-1.5-Flash,negative
160,This product is a scam!  I demand a refund!,Gemini-1.5-Flash,negative
161,The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative
162,This event was a disaster.  The performers were unprofessional.,Gemini-1.5-Flash,negative
163,The venue was difficult to access and lacked proper parking.,Gemini-1.5-Flash,negative
164,This product is broken and I'm very disappointed.,Gemini-1.5-Flash,negative
165,The movie was terrible.  I regret watching it.,Gemini-1.5-Flash,negative
166,This event was a complete letdown.  I'm so disappointed.,Gemini-1.5-Flash,negative
167,The venue was run-down and in desperate need of repair.,Gemini-1.5-Flash,negative
168,This product is a waste of money.  Don't buy it!,Gemini-1.5-Flash,negative
169,"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative
170,This event was poorly managed and lacked any customer service.,Gemini-1.5-Flash,negative
171,The venue was overcrowded and chaotic.  It was a nightmare.,Gemini-1.5-Flash,negative
172,This product is defective and doesn't function properly.,Gemini-1.5-Flash,negative
173,The movie was a complete mess.  I couldn't follow the plot.,Gemini-1.5-Flash,negative
174,This event was a waste of time and money.  I'm so angry.,Gemini-1.5-Flash,negative
175,The venue was uncomfortable and the temperature was unbearable.,Gemini-1.5-Flash,negative
176,This product stopped working after only one use.  Unbelievable!,Gemini-1.5-Flash,negative
177,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
178,This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative
179,The venue was poorly lit and difficult to navigate.,Gemini-1.5-Flash,negative
180,This product is junk.  It's cheaply made and doesn't work.,Gemini-1.5-Flash,negative
181,The movie was unoriginal and lacked any creativity.,Gemini-1.5-Flash,negative
182,This event was a total disappointment.  I'm so upset.,Gemini-1.5-Flash,negative
183,The venue was dirty and lacked basic hygiene standards.,Gemini-1.5-Flash,negative
184,This product is a complete waste of time.  Don't bother.,Gemini-1.5-Flash,negative
185,The movie was slow-paced and lacked any excitement.,Gemini-1.5-Flash,negative
186,This event was a total disaster.  I'm so disappointed.,Gemini-1.5-Flash,negative
187,The venue was expensive and didn't offer anything special.,Gemini-1.5-Flash,negative
188,This product is useless and I regret buying it.,Gemini-1.5-Flash,negative
189,The movie was confusing and poorly edited.,Gemini-1.5-Flash,negative
190,This event was a complete waste of my time and money.,Gemini-1.5-Flash,negative
191,"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative
192,This product is terrible quality and I'm very unhappy.,Gemini-1.5-Flash,negative
193,The movie was predictable and lacked any suspense.,Gemini-1.5-Flash,negative
194,This event was a total letdown.  I'm so angry.,Gemini-1.5-Flash,negative
195,The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative
196,This product is faulty and I'm demanding a refund.,Gemini-1.5-Flash,negative
197,The movie was boring and had terrible special effects.,Gemini-1.5-Flash,negative
198,This event was a complete failure.  I regret going.,Gemini-1.5-Flash,negative
199,The venue was difficult to find and poorly advertised.,Gemini-1.5-Flash,negative
200,This product is a complete rip-off.  The price is outrageous.,Gemini-1.5-Flash,negative
201,The movie was uninspired and lacked any originality.,Gemini-1.5-Flash,negative
202,This event was a complete disappointment.  I'm so frustrated.,Gemini-1.5-Flash,negative
203,The venue was uncomfortable and lacked basic amenities.,Gemini-1.5-Flash,negative
204,This product is a waste of my hard-earned money.,Gemini-1.5-Flash,negative
205,The movie was a complete waste of my time and money.,Gemini-1.5-Flash,negative
206,This event was poorly organized and lacked any entertainment value.,Gemini-1.5-Flash,negative
207,The venue was overpriced and understaffed. It was a disaster.,Gemini-1.5-Flash,negative
208,This product is cheaply made and falls apart easily.,Gemini-1.5-Flash,negative
209,The movie was boring and had terrible acting.,Gemini-1.5-Flash,negative
210,This event was a complete letdown. I'm so upset.,Gemini-1.5-Flash,negative
211,The venue was dirty and smelled bad.,Gemini-1.5-Flash,negative
212,This product is defective and I'm requesting a replacement.,Gemini-1.5-Flash,negative
213,The movie was confusing and difficult to follow.,Gemini-1.5-Flash,negative
214,This event was a total waste of my time.,Gemini-1.5-Flash,negative
215,The venue was inaccessible and difficult to navigate.,Gemini-1.5-Flash,negative
216,This product is a disappointment.  I expected better.,Gemini-1.5-Flash,negative
217,The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative
218,This event was a complete disappointment. I'm so angry.,Gemini-1.5-Flash,negative
219,The venue was uncomfortable and lacked proper seating.,Gemini-1.5-Flash,negative
220,This product is poorly designed and difficult to use.,Gemini-1.5-Flash,negative
221,The movie was boring and had a terrible plot.,Gemini-1.5-Flash,negative
222,This event was a complete failure. I'm so frustrated.,Gemini-1.5-Flash,negative
223,The venue was poorly maintained and in disrepair.,Gemini-1.5-Flash,negative
224,This product is a waste of time and money.,Gemini-1.5-Flash,negative
225,"The product was okay, nothing special. It did the job, I guess.",Gemini-1.5-Flash,neutral
226,"The movie was alright.  It wasn't amazing, but it wasn't terrible either.",Gemini-1.5-Flash,neutral
227,"The event was decent.  Could have been better organized, but it was fine.",Gemini-1.5-Flash,neutral
228,"The venue was average.  Nothing to write home about, but it served its purpose.",Gemini-1.5-Flash,neutral
229,"It was a pretty standard product.  Not bad, not great.",Gemini-1.5-Flash,neutral
230,"The movie was watchable.  I've seen better, but I've seen worse.",Gemini-1.5-Flash,neutral
231,The event was acceptable.  Nothing particularly memorable.,Gemini-1.5-Flash,neutral
232,"The venue was adequate.  It wasn't luxurious, but it was functional.",Gemini-1.5-Flash,neutral
233,"It was a pretty run-of-the-mill product.  Met my expectations, I suppose.",Gemini-1.5-Flash,neutral
234,The movie was passable.  I wouldn't rush to see it again.,Gemini-1.5-Flash,neutral
235,"The event was okay, nothing to get excited about.",Gemini-1.5-Flash,neutral
236,"The venue was satisfactory.  It did the job, but nothing more.",Gemini-1.5-Flash,neutral
237,"The product was functional.  It worked as intended, but wasn't impressive.",Gemini-1.5-Flash,neutral
238,The movie was just okay.  I've seen better films.,Gemini-1.5-Flash,neutral
239,"The event was pretty standard.  Nothing special, but it was fine.",Gemini-1.5-Flash,neutral
240,"The venue was convenient.  Easy to get to, which was nice.",Gemini-1.5-Flash,neutral
241,"The product was simple, but effective.  It did what it needed to do.",Gemini-1.5-Flash,neutral
242,"The movie was mildly entertaining.  Not a masterpiece, but not a disaster.",Gemini-1.5-Flash,neutral
243,"The event was alright.  It wasn't bad, but it wasn't great either.",Gemini-1.5-Flash,neutral
244,The venue was clean and tidy.  That's about all I can say.,Gemini-1.5-Flash,neutral
245,"The product was as expected.  No surprises, good or bad.",Gemini-1.5-Flash,neutral
246,"The movie was a decent time killer.  Nothing remarkable, but it passed the time.",Gemini-1.5-Flash,neutral
247,The event was reasonably priced.  That was a plus.,Gemini-1.5-Flash,neutral
248,The venue was spacious enough.  No complaints there.,Gemini-1.5-Flash,neutral
249,"The product worked fine.  No issues, no complaints.",Gemini-1.5-Flash,neutral
250,The movie was an average film.  Nothing particularly memorable.,Gemini-1.5-Flash,neutral
251,"The event was well-attended.  That's a good sign, I guess.",Gemini-1.5-Flash,neutral
252,The venue had good acoustics.  That was a positive.,Gemini-1.5-Flash,neutral
253,"The product was pretty basic.  It's functional, but lacks features.",Gemini-1.5-Flash,neutral
254,"The movie was a bit slow, but it wasn't terrible.",Gemini-1.5-Flash,neutral
255,The event could have used better signage.,Gemini-1.5-Flash,neutral
256,The venue was easy to find.  That's helpful.,Gemini-1.5-Flash,neutral
257,"The product was a bit pricey, but it worked well.",Gemini-1.5-Flash,neutral
258,"The movie was predictable, but enjoyable enough.",Gemini-1.5-Flash,neutral
259,"The event was a bit disorganized, but overall okay.",Gemini-1.5-Flash,neutral
260,"The venue was a bit cramped, but manageable.",Gemini-1.5-Flash,neutral
261,"The product was okay, but I've seen better.",Gemini-1.5-Flash,neutral
262,"The movie was a bit long, but not unbearable.",Gemini-1.5-Flash,neutral
263,"The event was decent, but nothing special.",Gemini-1.5-Flash,neutral
264,The venue was clean and comfortable enough.,Gemini-1.5-Flash,neutral
265,"The product met my basic needs.  It wasn't amazing, but it worked.",Gemini-1.5-Flash,neutral
266,The movie was a so-so movie.  Nothing to rave about.,Gemini-1.5-Flash,neutral
267,The event was pretty uneventful.  It was okay.,Gemini-1.5-Flash,neutral
268,The venue was conveniently located.  That was a plus.,Gemini-1.5-Flash,neutral
269,The product was alright for the price.  Not bad value.,Gemini-1.5-Flash,neutral
270,"The movie was a bit cheesy, but entertaining.",Gemini-1.5-Flash,neutral
271,"The event was well-organized, but a bit boring.",Gemini-1.5-Flash,neutral
272,The venue was modern and clean.,Gemini-1.5-Flash,neutral
273,The product was simple to use.  That's a plus.,Gemini-1.5-Flash,neutral
274,The movie was okay for a casual viewing.,Gemini-1.5-Flash,neutral
275,"The event was average.  It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
276,The venue was fairly priced.  No complaints there.,Gemini-1.5-Flash,neutral
277,The product was durable enough.  It held up well.,Gemini-1.5-Flash,neutral
278,The movie was a typical action film.  Nothing groundbreaking.,Gemini-1.5-Flash,neutral
279,"The event was a bit crowded, but manageable.",Gemini-1.5-Flash,neutral
280,The venue had adequate parking.  That was convenient.,Gemini-1.5-Flash,neutral
281,The product was easy to assemble.  That was helpful.,Gemini-1.5-Flash,neutral
282,"The movie was a bit predictable, but still enjoyable.",Gemini-1.5-Flash,neutral
283,The event was well-paced.  It didn't drag on.,Gemini-1.5-Flash,neutral
284,The venue was accessible.  Easy to get to.,Gemini-1.5-Flash,neutral
285,The product was a decent value for the money.,Gemini-1.5-Flash,neutral
286,The movie was a good way to spend an evening.,Gemini-1.5-Flash,neutral
287,The event was pleasant enough.  It was a nice way to spend an afternoon.,Gemini-1.5-Flash,neutral
288,The venue was clean and well-maintained.,Gemini-1.5-Flash,neutral
289,The product was functional and reliable.  It did its job.,Gemini-1.5-Flash,neutral
290,"The movie was a decent watch.  I wouldn't say it was amazing, but it was fine.",Gemini-1.5-Flash,neutral
291,"The event was okay, but could have been better.",Gemini-1.5-Flash,neutral
292,"The venue was alright, nothing special.",Gemini-1.5-Flash,neutral
293,"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
294,"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
295,"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
296,"The venue was a bit far out, but it was nice.",Gemini-1.5-Flash,neutral
297,"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
298,"The movie was okay, I guess.  It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
299,"The event was enjoyable, but a bit short.",Gemini-1.5-Flash,neutral
300,The venue was clean and modern.,Gemini-1.5-Flash,neutral
301,The product was a decent option.  It met my needs.,Gemini-1.5-Flash,neutral
302,The movie was an average film.  Nothing particularly memorable.,Gemini-1.5-Flash,neutral
303,"The event was a bit crowded, but the atmosphere was good.",Gemini-1.5-Flash,neutral
304,The venue was easy to find and park at.,Gemini-1.5-Flash,neutral
305,The product was simple to use and effective.,Gemini-1.5-Flash,neutral
306,"The movie was a bit predictable, but entertaining nonetheless.",Gemini-1.5-Flash,neutral
307,The event was well-organized and ran smoothly.,Gemini-1.5-Flash,neutral
308,The venue was comfortable and spacious.,Gemini-1.5-Flash,neutral
309,The product was a good value for the money.  It was worth the price.,Gemini-1.5-Flash,neutral
310,"The movie was okay, but nothing special.",Gemini-1.5-Flash,neutral
311,"The event was a bit underwhelming, but it was okay.",Gemini-1.5-Flash,neutral
312,The venue was clean and well-maintained.,Gemini-1.5-Flash,neutral
313,The product was functional and reliable.,Gemini-1.5-Flash,neutral
314,"The movie was a decent watch.  It wasn't amazing, but it was watchable.",Gemini-1.5-Flash,neutral
315,"The event was okay, but a bit overpriced.",Gemini-1.5-Flash,neutral
316,"The venue was a bit noisy, but otherwise okay.",Gemini-1.5-Flash,neutral
317,"The product was a bit flimsy, but it worked.",Gemini-1.5-Flash,neutral
318,"The movie was a bit slow, but the acting was good.",Gemini-1.5-Flash,neutral
319,"The event was well-organized, but a bit boring.",Gemini-1.5-Flash,neutral
320,The venue was conveniently located.,Gemini-1.5-Flash,neutral
321,"The product was a simple, effective tool.",Gemini-1.5-Flash,neutral
322,The movie was okay for a lazy Sunday afternoon.,Gemini-1.5-Flash,neutral
323,"The event was average, nothing to write home about.",Gemini-1.5-Flash,neutral
324,The venue was clean and comfortable.,Gemini-1.5-Flash,neutral
325,The product was a decent purchase.  It did what it was supposed to do.,Gemini-1.5-Flash,neutral
326,"The movie was a bit predictable, but still enjoyable.",Gemini-1.5-Flash,neutral
327,"The event was well-attended, but a bit crowded.",Gemini-1.5-Flash,neutral
328,The venue was accessible and easy to get to.,Gemini-1.5-Flash,neutral
329,The product was a good value for the price.,Gemini-1.5-Flash,neutral
330,The movie was a decent way to spend an evening.,Gemini-1.5-Flash,neutral
331,The event was pleasant enough.  It was a nice way to spend some time.,Gemini-1.5-Flash,neutral
332,The venue was clean and well-maintained.,Gemini-1.5-Flash,neutral
333,The product was functional and reliable.  It did its job.,Gemini-1.5-Flash,neutral
334,"The movie was a decent watch.  It wasn't amazing, but it was fine.",Gemini-1.5-Flash,neutral
335,"The event was okay, but could have been better.",Gemini-1.5-Flash,neutral
336,"The venue was alright, nothing special.",Gemini-1.5-Flash,neutral
337,"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
338,"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
339,"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
340,"The venue was a bit far out, but it was nice.",Gemini-1.5-Flash,neutral
341,"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
342,"The movie was okay, I guess. It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
343,"The event was enjoyable, but a bit short.",Gemini-1.5-Flash,neutral
344,The venue was clean and modern.,Gemini-1.5-Flash,neutral
345,The product was a decent option. It met my needs.,Gemini-1.5-Flash,neutral
346,The movie was an average film. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
347,"The event was a bit crowded, but the atmosphere was good.",Gemini-1.5-Flash,neutral
348,The venue was easy to find and park at.,Gemini-1.5-Flash,neutral
349,The product was simple to use and effective.,Gemini-1.5-Flash,neutral
350,"The movie was a bit predictable, but entertaining nonetheless.",Gemini-1.5-Flash,neutral
351,The event was well-organized and ran smoothly.,Gemini-1.5-Flash,neutral
352,The venue was comfortable and spacious.,Gemini-1.5-Flash,neutral
353,The product was a good value for the money. It was worth the price.,Gemini-1.5-Flash,neutral
354,"The movie was okay, but nothing special.",Gemini-1.5-Flash,neutral
355,"The event was a bit underwhelming, but it was okay.",Gemini-1.5-Flash,neutral
356,The venue was clean and well-maintained.,Gemini-1.5-Flash,neutral
357,The product was functional and reliable.,Gemini-1.5-Flash,neutral
358,"The concert was alright, a bit loud for my taste, but the venue was nice and easy to get to.",Gemini-1.5-Flash,neutral
359,"Pretty good movie, I've seen better, but it wasn't a waste of time.  The acting was decent.",Gemini-1.5-Flash,neutral
