,Unnamed: 0,review,model,sentiment
76,76,The venue was urotaocnmlbfe and lacked proper ventilation.,Gemini-1.5-Flash,negative
77,77,This event was a total dseiatsr. I'm so doppietinsad.,Gemini-1.5-Flash,negative
78,78,The mvoie was cniofsnug and poorly edited.,Gemini-1.5-Flash,negative
79,79,"The venue was nisoy and dipstriuve, riuinng the event.",Gemini-1.5-Flash,negative
80,80,This event was a complete wsate of my time and money.,Gemini-1.5-Flash,negative
81,81,The mvioe was predictable and lacked any suspense.,Gemini-1.5-Flash,negative
82,82,The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative
83,83,This event was a ttoal letdown. I'm so argny.,Gemini-1.5-Flash,negative
84,84,The movie was brinog and had tirbrele sieacpl effects.,Gemini-1.5-Flash,negative
85,85,The venue was diifuflct to find and polory advertised.,Gemini-1.5-Flash,negative
86,86,This event was a complete fiarlue. I reergt going.,Gemini-1.5-Flash,negative
87,87,The movie was uninspired and lacked any originality.,Gemini-1.5-Flash,negative
88,88,The venue was umftlcanrbooe and lacked basic amenities.,Gemini-1.5-Flash,negative
89,89,This event was a cpmeltoe dtneaoimpsinpt. I'm so frrutaestd.,Gemini-1.5-Flash,negative
90,90,The movie was a complete wsate of my time and money.,Gemini-1.5-Flash,negative
91,91,The venue was overpriced and understaffed. It was a daeitssr.,Gemini-1.5-Flash,negative
92,92,This event was poorly organized and lacked any etitrmennanet vuale.,Gemini-1.5-Flash,negative
93,93,The movie was binorg and had tlebrire acting.,Gemini-1.5-Flash,negative
94,94,The venue was dtiry and smelled bad.,Gemini-1.5-Flash,negative
95,95,This event was a complete letdown. I'm so uespt.,Gemini-1.5-Flash,negative
96,96,The movie was cionusnfg and dcfuiflit to follow.,Gemini-1.5-Flash,negative
97,97,The venue was inaccessible and diicffult to navigate.,Gemini-1.5-Flash,negative
98,98,This event was a total wtsae of my time.,Gemini-1.5-Flash,negative
99,99,The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative
100,100,The venue was uonfrctaomlbe and lkecad proper seating.,Gemini-1.5-Flash,negative
101,101,Tihs event was a complete deipaompnsntit. I'm so angry.,Gemini-1.5-Flash,negative
102,102,The movie was brniog and had a tilrbere plot.,Gemini-1.5-Flash,negative
103,103,The venue was poorly manetainid and in disrepair.,Gemini-1.5-Flash,negative
104,104,This event was a complete furlaie. I'm so frsttearud.,Gemini-1.5-Flash,negative
105,105,The mvoie was a waste of time and money.,Gemini-1.5-Flash,negative
106,106,The venue was overcrowded and ufamoonltbcre.,Gemini-1.5-Flash,negative
107,107,This event was a total letdown. I'm so dioasepiptnd.,Gemini-1.5-Flash,negative
108,108,This product is garbage. It bokre after only a week. I'm so dieaspnioptd.,Gemini-1.5-Flash,negative
109,109,The movie was a complete wtsae of tmie. The plot was nonsensical and the acting was aufwl.,Gemini-1.5-Flash,negative
110,110,"What a trbelrie event! Poorly organized, overpriced, and the performers were tibrlree.",Gemini-1.5-Flash,negative
111,111,"This venue is a dump. Dirty, smelly, and the staff were incredibly rude.",Gemini-1.5-Flash,negative
112,112,I hate this product! It doesn't work as advertised and the customer service is trlribee.,Gemini-1.5-Flash,negative
113,113,The movie was birnog and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
114,114,This event was a complete letdown. I left fenlieg ripped off and angry.,Gemini-1.5-Flash,negative
115,115,The venue was overcrowded and unbmcootlafre. I couldn't even enjoy the event.,Gemini-1.5-Flash,negative
116,116,This product is cheaply made and fell apart idtiemlmeay. Don't wtsae your money!,Gemini-1.5-Flash,negative
117,117,"The moive was so slow and bnriog, I almost fell asleep. Total waste of time.",Gemini-1.5-Flash,negative
118,118,This event was a dgenizsiroad mess. No one knew what was going on.,Gemini-1.5-Flash,negative
119,119,The venue was ditry and smelled awful. I couldn't wait to leave.,Gemini-1.5-Flash,negative
120,120,This product is a sacm! It doesn' work at all. I want my money back!,Gemini-1.5-Flash,negative
121,121,The movie had trlebire siceapl effects and a nonsensical plot. I'm firuous.,Gemini-1.5-Flash,negative
122,122,This event was poorly advertised and even worse in reality. A complete watse of time.,Gemini-1.5-Flash,negative
123,123,The venue was far too expensive for what it offered. I felt caeethd.,Gemini-1.5-Flash,negative
124,124,This product is dctieevfe and I'm stuck with a useesls piece of junk.,Gemini-1.5-Flash,negative
125,125,The movie was conunsifg and poorly written. I was lost the erntie tmie.,Gemini-1.5-Flash,negative
126,126,This event was a complete frailue. I reegrt attending.,Gemini-1.5-Flash,negative
127,127,The venue was nsoiy and datrstinicg. I couldn't focus on anything.,Gemini-1.5-Flash,negative
128,128,This product spptoed working after only a few uses. Very dipitnsoianpg.,Gemini-1.5-Flash,negative
129,129,The movie was predictable and cliché. I've seen bteter.,Gemini-1.5-Flash,negative
130,130,This event was underwhelming and dintaispipong. I expected so much more.,Gemini-1.5-Flash,negative
131,131,The venue was poorly maintained and unclean. I'm dstgiused.,Gemini-1.5-Flash,negative
132,132,This product is a complete rip-off. The quality is tilrerbe.,Gemini-1.5-Flash,negative
133,133,The movie was bornig and lacked any substance. I'm so diosepptiand.,Gemini-1.5-Flash,negative
134,134,This event was polroy eceteuxd and lacked any ciairvtety.,Gemini-1.5-Flash,negative
135,135,The venue was uabcromnoftle and lacked basic amenities. I was mlrbiesae.,Gemini-1.5-Flash,negative
136,136,This product doesn't work as deebicsrd. False advertising!,Gemini-1.5-Flash,negative
137,137,The movie was a complete waste of time and money. Don't btoehr.,Gemini-1.5-Flash,negative
138,138,This event was drosanziiegd and lacked any real eenietnmatnrt vuale.,Gemini-1.5-Flash,negative
139,139,The venue was dclfiifut to get to and poorly signposted. I almost missed it.,Gemini-1.5-Flash,negative
140,140,This puodrct is cheaply made and borke eilsay. I'm so agnry.,Gemini-1.5-Flash,negative
141,141,"The movie was so predictable, it was itnuislng. I'm so mad.",Gemini-1.5-Flash,negative
142,142,This event was a huge letdown. I'm so anrgy.,Gemini-1.5-Flash,negative
143,143,The venue was overpriced and usefatrdnfed. It was choas.,Gemini-1.5-Flash,negative
144,144,This product is a tatol wtase of money. I regret buying it.,Gemini-1.5-Flash,negative
145,145,The movie was just plain bad. I can't believe I paid to see it.,Gemini-1.5-Flash,negative
146,146,This envet was a complete wsate of my evening. I'm so fatsetrrud.,Gemini-1.5-Flash,negative
147,147,"The venue was cramped and uarfltoncmboe, making the event ulnanseapt.",Gemini-1.5-Flash,negative
148,148,This puocrdt is ftlauy and I'm extremely unhppay with it.,Gemini-1.5-Flash,negative
149,149,The movie was a complete dpninieaspmtot. I'm so uspet.,Gemini-1.5-Flash,negative
150,150,This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
151,151,"The venue was a fire hrazad. Seriously, it was dgaonerus.",Gemini-1.5-Flash,negative
152,152,This product is useesls. It doesn't do what it's supposed to do.,Gemini-1.5-Flash,negative
153,153,"The movie was slow, biorng, and had trerlibe acting.",Gemini-1.5-Flash,negative
154,154,This event was a total desaitsr. I'll never go back.,Gemini-1.5-Flash,negative
155,155,"The venue was small, drtiy, and the sound was trbilree.",Gemini-1.5-Flash,negative
156,156,This product is cheaply made and doesn't last. Avoid it!,Gemini-1.5-Flash,negative
157,157,The movie was csfinoung and lacked a coherent plot.,Gemini-1.5-Flash,negative
158,158,This event was poorly organized and lacked any clear direction.,Gemini-1.5-Flash,negative
159,159,The venue was uaootbrcnlfme and lacked aqudaete seating.,Gemini-1.5-Flash,negative
160,160,This product is a scam! I dnemad a refund!,Gemini-1.5-Flash,negative
161,161,The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative
162,162,This event was a dassteir. The performers were uroaeonsfpsnil.,Gemini-1.5-Flash,negative
163,163,The venue was dufciilft to access and lacked proper parking.,Gemini-1.5-Flash,negative
164,164,This product is bkoern and I'm very diaontipsepd.,Gemini-1.5-Flash,negative
165,165,The movie was tlribere. I reregt watching it.,Gemini-1.5-Flash,negative
166,166,This event was a complete lewdotn. I'm so dpitianpsoed.,Gemini-1.5-Flash,negative
167,167,The venue was run-down and in deastrpee need of repair.,Gemini-1.5-Flash,negative
168,168,This product is a wsate of menoy. Don't buy it!,Gemini-1.5-Flash,negative
169,169,"The movie was bronig, pterdlibace, and had trrbeile dialogue.",Gemini-1.5-Flash,negative
170,170,This event was poorly managed and lacked any customer service.,Gemini-1.5-Flash,negative
171,171,The venue was overcrowded and cohitac. It was a nightmare.,Gemini-1.5-Flash,negative
172,172,This product is dvcfeitee and doesn't function properly.,Gemini-1.5-Flash,negative
173,173,The movie was a complete mses. I couldn't follow the plot.,Gemini-1.5-Flash,negative
174,174,This event was a wtsae of time and money. I'm so anrgy.,Gemini-1.5-Flash,negative
175,175,The venue was ubrmnaoctlfoe and the temperature was unbearable.,Gemini-1.5-Flash,negative
176,176,This product spotepd working after only one use. Unbelievable!,Gemini-1.5-Flash,negative
177,177,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
178,178,Tihs event was a complete fualrie. I'm so fturtesrad.,Gemini-1.5-Flash,negative
179,179,The venue was poorly lit and dfcufilit to navigate.,Gemini-1.5-Flash,negative
180,180,This porcudt is junk. It's cheaply made and doesn't work.,Gemini-1.5-Flash,negative
181,181,The movie was unoriginal and lacked any cveatiitry.,Gemini-1.5-Flash,negative
182,182,This event was a total diosmtpaninpet. I'm so uspet.,Gemini-1.5-Flash,negative
183,183,The venue was dirty and lacked basic hygiene standards.,Gemini-1.5-Flash,negative
184,184,This product is a complete wstae of time. Don't behtor.,Gemini-1.5-Flash,negative
185,185,The movie was solw- and lacked any eeietxncmt.,Gemini-1.5-Flash,negative
186,186,This event was a total dsseaitr. I'm so daioepsipntd.,Gemini-1.5-Flash,negative
187,187,The venue was expensive and didn't offer anything spiceal.,Gemini-1.5-Flash,negative
188,188,This product is uelsess and I rgreet buying it.,Gemini-1.5-Flash,negative
189,189,The movie was cnsfouing and poorly edited.,Gemini-1.5-Flash,negative
190,190,This event was a complete wtase of my time and money.,Gemini-1.5-Flash,negative
191,191,"The venue was nsioy and dpsrivutie, rinniug the event.",Gemini-1.5-Flash,negative
192,192,This pocrudt is tbrilree quality and I'm very uaphnpy.,Gemini-1.5-Flash,negative
193,193,The movie was predictable and lacked any suspense.,Gemini-1.5-Flash,negative
194,194,This event was a total letdown. I'm so agrny.,Gemini-1.5-Flash,negative
195,195,The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative
196,196,This pdrocut is fulaty and I'm dmiedanng a refund.,Gemini-1.5-Flash,negative
197,197,The movie was bnoirg and had tlriebre sipeacl effects.,Gemini-1.5-Flash,negative
198,198,This event was a coplmete fualrie. I rreegt gonig.,Gemini-1.5-Flash,negative
199,199,The vuene was dlffuiict to find and poorly advertised.,Gemini-1.5-Flash,negative
200,200,This product is a complete rip-off. The price is ououegatrs.,Gemini-1.5-Flash,negative
201,201,The movie was uninspired and lacked any oraiiigltny.,Gemini-1.5-Flash,negative
202,202,This event was a complete dioipanmspnett. I'm so fasetutrrd.,Gemini-1.5-Flash,negative
203,203,The venue was ubcrnaotflome and lacked basic amenities.,Gemini-1.5-Flash,negative
204,204,This product is a wstae of my hard-earned money.,Gemini-1.5-Flash,negative
205,205,The movie was a complete wsate of my time and money.,Gemini-1.5-Flash,negative
206,206,Tihs event was poorly organized and lacked any eminteetrannt vulae.,Gemini-1.5-Flash,negative
207,207,The venue was overpriced and understaffed. It was a diestsar.,Gemini-1.5-Flash,negative
208,208,This product is cheaply made and falls apart esliay.,Gemini-1.5-Flash,negative
209,209,The movie was bornig and had tlebrire acting.,Gemini-1.5-Flash,negative
210,210,This event was a ctpelmoe lodwetn. I'm so uespt.,Gemini-1.5-Flash,negative
211,211,The vnuee was ditry and selmeld bad.,Gemini-1.5-Flash,negative
212,212,This product is dtfeevcie and I'm requesting a replacement.,Gemini-1.5-Flash,negative
213,213,The movie was csounfnig and duficlfit to follow.,Gemini-1.5-Flash,negative
214,214,This event was a total waste of my time.,Gemini-1.5-Flash,negative
215,215,The venue was inaccessible and dulciifft to navigate.,Gemini-1.5-Flash,negative
216,216,This product is a dnapmisneitopt. I expected better.,Gemini-1.5-Flash,negative
217,217,The movie was uonigrinal and predictable.,Gemini-1.5-Flash,negative
218,218,This event was a complete dsimepnapinott. I'm so agrny.,Gemini-1.5-Flash,negative
219,219,The venue was ulotrcbmfanoe and lcekad proper seating.,Gemini-1.5-Flash,negative
220,220,This product is poorly degsiend and diicufflt to use.,Gemini-1.5-Flash,negative
221,221,The movie was bonirg and had a terrbile plot.,Gemini-1.5-Flash,negative
222,222,This event was a complete fuilrae. I'm so fsetaurtrd.,Gemini-1.5-Flash,negative
223,223,The venue was poorly mtaneiniad and in disraeipr.,Gemini-1.5-Flash,negative
224,224,This product is a wtsae of time and money.,Gemini-1.5-Flash,negative
225,225,"The product was oaky, nothing sicapel. It did the job, I guess.",Gemini-1.5-Flash,neutral
226,226,"The movie was aiglrht. It wasn't azaming, but it wasn't tlibrree either.",Gemini-1.5-Flash,neutral
227,227,"The event was decent. Could have been bteetr organized, but it was fine.",Gemini-1.5-Flash,neutral
228,228,"The venue was average. Nothing to write home about, but it served its purpose.",Gemini-1.5-Flash,neutral
229,229,"It was a pettry standard product. Not bad, not great.",Gemini-1.5-Flash,neutral
230,230,"The movie was watchable. I've seen bteetr, but I've seen wsroe.",Gemini-1.5-Flash,neutral
231,231,The event was apecatcble. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
232,232,"The venue was adtuaeqe. It wasn't luxurious, but it was functional.",Gemini-1.5-Flash,neutral
233,233,"It was a petrty run-of-the-mill product. Met my expectations, I suppose.",Gemini-1.5-Flash,neutral
234,234,The movie was passable. I wdulon' rush to see it again.,Gemini-1.5-Flash,neutral
235,235,"The event was oaky, nothing to get eectxid about.",Gemini-1.5-Flash,neutral
236,236,"The venue was soicasrattfy. It did the job, but nothing more.",Gemini-1.5-Flash,neutral
237,237,"The product was functional. It worked as intended, but wasn't iepirmsvse.",Gemini-1.5-Flash,neutral
238,238,The miove was just oaky. I've seen better films.,Gemini-1.5-Flash,neutral
239,239,"The event was prttey standard. Nothing sceiapl, but it was fine.",Gemini-1.5-Flash,neutral
240,240,"The venue was convenient. Easy to get to, which was ncie.",Gemini-1.5-Flash,neutral
241,241,"The product was simple, but effteivce. It did what it needed to do.",Gemini-1.5-Flash,neutral
242,242,"The movie was mildly eiriatnnnetg. Not a maetrescpie, but not a dssitaer.",Gemini-1.5-Flash,neutral
243,243,"The event was alrhgit. It wasn't bad, but it wasn't gaert either.",Gemini-1.5-Flash,neutral
244,244,The venue was caeln and tidy. Taht' about all I can say.,Gemini-1.5-Flash,neutral
245,245,"The product was as expected. No siruerpss, good or bad.",Gemini-1.5-Flash,neutral
246,246,"The movie was a decent time kliler. Nothing rrkmaeable, but it passed the time.",Gemini-1.5-Flash,neutral
247,247,The event was reasonably priced. That was a plus.,Gemini-1.5-Flash,neutral
248,248,The veune was spacious enough. No ctlipmaons there.,Gemini-1.5-Flash,neutral
249,249,"The product worked fine. No issues, no cnlopmitas.",Gemini-1.5-Flash,neutral
250,250,The movie was an average film. Nothing paalriclurty memorable.,Gemini-1.5-Flash,neutral
251,251,"The event was wlel- That's a good sign, I guess.",Gemini-1.5-Flash,neutral
252,252,The venue had good acoustics. That was a psivoite.,Gemini-1.5-Flash,neutral
253,253,"The product was prttey basic. It's functional, but lacks features.",Gemini-1.5-Flash,neutral
254,254,"The movie was a bit slow, but it wasn't trebilre.",Gemini-1.5-Flash,neutral
255,255,The event could have used betetr signage.,Gemini-1.5-Flash,neutral
256,256,The venue was esay to find. That's hlefpul.,Gemini-1.5-Flash,neutral
257,257,"The product was a bit pricey, but it worked well.",Gemini-1.5-Flash,neutral
258,258,"The movie was prlbeaicdte, but eojlbynae enough.",Gemini-1.5-Flash,neutral
259,259,"The event was a bit drszeigonaid, but overall oaky.",Gemini-1.5-Flash,neutral
260,260,"The venue was a bit cramped, but maebgnaale.",Gemini-1.5-Flash,neutral
261,261,"The product was okay, but I've seen betetr.",Gemini-1.5-Flash,neutral
262,262,"The moive was a bit long, but not unbearable.",Gemini-1.5-Flash,neutral
263,263,"The event was decent, but nothing sipecal.",Gemini-1.5-Flash,neutral
264,264,The venue was cealn and cafotbrmole enough.,Gemini-1.5-Flash,neutral
265,265,"The product met my basic needs. It wasn't aimnzag, but it worked.",Gemini-1.5-Flash,neutral
266,266,The movie was a so-so movie. Nothing to rave aubot.,Gemini-1.5-Flash,neutral
267,267,The event was petrty uneventful. It was oaky.,Gemini-1.5-Flash,neutral
268,268,The venue was conveniently located. That was a plus.,Gemini-1.5-Flash,neutral
269,269,The product was arlight for the price. Not bad vaule.,Gemini-1.5-Flash,neutral
270,270,"The mvoie was a bit cheesy, but eianntirtneg.",Gemini-1.5-Flash,neutral
271,271,"The event was well-organized, but a bit birong.",Gemini-1.5-Flash,neutral
272,272,The venue was modern and celan.,Gemini-1.5-Flash,neutral
273,273,The product was simple to use. That's a plus.,Gemini-1.5-Flash,neutral
274,274,The movie was okay for a cuasal viewing.,Gemini-1.5-Flash,neutral
275,275,"The event was average. It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
276,276,The venue was fairly priced. No conmilptas there.,Gemini-1.5-Flash,neutral
277,277,The product was durable enough. It held up wlel.,Gemini-1.5-Flash,neutral
278,278,The movie was a typical action film. Nothing groundbreaking.,Gemini-1.5-Flash,neutral
279,279,"The event was a bit crowded, but manageable.",Gemini-1.5-Flash,neutral
280,280,The venue had atqudaee parking. That was convenient.,Gemini-1.5-Flash,neutral
281,281,The product was esay to absslmee. That was hulefpl.,Gemini-1.5-Flash,neutral
282,282,"The movie was a bit predictable, but still eyjalbnoe.",Gemini-1.5-Flash,neutral
283,283,The event was well-paced. It didn't drag on.,Gemini-1.5-Flash,neutral
284,284,The venue was accessible. Easy to get to.,Gemini-1.5-Flash,neutral
285,285,The product was a decent vuale for the money.,Gemini-1.5-Flash,neutral
286,286,The movie was a good way to spend an evening.,Gemini-1.5-Flash,neutral
287,287,The event was pasaenlt enough. It was a ncie way to spend an afternoon.,Gemini-1.5-Flash,neutral
288,288,The venue was calen and well-maintained.,Gemini-1.5-Flash,neutral
289,289,The product was functional and reliable. It did its job.,Gemini-1.5-Flash,neutral
290,290,"The movie was a decent watch. I wouldn't say it was azamnig, but it was fine.",Gemini-1.5-Flash,neutral
291,291,"The event was oaky, but could have been bteetr.",Gemini-1.5-Flash,neutral
292,292,"The venue was agirhlt, ntonihg siceapl.",Gemini-1.5-Flash,neutral
293,293,"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
294,294,"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
295,295,"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
296,296,"The venue was a bit far out, but it was ncie.",Gemini-1.5-Flash,neutral
297,297,"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
298,298,"The movie was okay, I gsues. It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
299,299,"The eenvt was ejoaylbne, but a bit short.",Gemini-1.5-Flash,neutral
300,300,The venue was claen and modern.,Gemini-1.5-Flash,neutral
301,301,The product was a decent option. It met my needs.,Gemini-1.5-Flash,neutral
302,302,The movie was an average film. Nothing particularly memorable.,Gemini-1.5-Flash,neutral
303,303,"The event was a bit crowded, but the atmosphere was good.",Gemini-1.5-Flash,neutral
304,304,The venue was easy to find and park at.,Gemini-1.5-Flash,neutral
305,305,The pcodurt was simple to use and etfivefce.,Gemini-1.5-Flash,neutral
306,306,"The movie was a bit predictable, but ernnaeititng nonetheless.",Gemini-1.5-Flash,neutral
307,307,The event was well-organized and ran smoothly.,Gemini-1.5-Flash,neutral
308,308,The venue was cbmafoorlte and spacious.,Gemini-1.5-Flash,neutral
309,309,The product was a good vaule for the mneoy. It was wotrh the price.,Gemini-1.5-Flash,neutral
310,310,"The movie was okay, but nothing sicepal.",Gemini-1.5-Flash,neutral
311,311,"The event was a bit underwhelming, but it was oaky.",Gemini-1.5-Flash,neutral
312,312,The venue was clean and well-maintained.,Gemini-1.5-Flash,neutral
313,313,The pdocrut was functional and reliable.,Gemini-1.5-Flash,neutral
314,314,"The movie was a decent watch. It wasn't amzinag, but it was watchable.",Gemini-1.5-Flash,neutral
315,315,"The event was okay, but a bit overpriced.",Gemini-1.5-Flash,neutral
316,316,"The venue was a bit nisoy, but otherwise oaky.",Gemini-1.5-Flash,neutral
317,317,"The product was a bit flimsy, but it worked.",Gemini-1.5-Flash,neutral
318,318,"The movie was a bit slow, but the acintg was good.",Gemini-1.5-Flash,neutral
319,319,"The eenvt was well-organized, but a bit biorng.",Gemini-1.5-Flash,neutral
320,320,The veune was conveniently located.,Gemini-1.5-Flash,neutral
