Unnamed: 0,review,model,sentiment
37,chaos. was It understaffed. and overpriced was venue The,Gemini-1.5-Flash,negative
38,frustrated. so I'm evening. my of waste complete a was event This,Gemini-1.5-Flash,negative
39,it. see to paid I believe can't I bad. plain just was movie The,Gemini-1.5-Flash,negative
40,"unpleasant. event the making uncomfortable, and cramped was venue The",Gemini-1.5-Flash,negative
41,hype. the to up live didn't and advertised poorly was event This,Gemini-1.5-Flash,negative
42,upset. so I'm disappointment. complete a was movie The,Gemini-1.5-Flash,negative
43,"dangerous. was it Seriously, hazard. fire a was venue The",Gemini-1.5-Flash,negative
44,back. go never I'll disaster. total a was event This,Gemini-1.5-Flash,negative
45,"acting. terrible had and boring, slow, was movie The",Gemini-1.5-Flash,negative
46,"terrible. was sound the and dirty, small, was venue The",Gemini-1.5-Flash,negative
47,direction. clear any lacked and organized poorly was event This,Gemini-1.5-Flash,negative
48,plot. coherent a lacked and confusing was movie The,Gemini-1.5-Flash,negative
49,seating. adequate lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
50,it. Avoid money. and time of waste complete a was event This,Gemini-1.5-Flash,negative
51,originality. any lacked and predictable was movie The,Gemini-1.5-Flash,negative
52,parking. proper lacked and access to difficult was venue The,Gemini-1.5-Flash,negative
53,unprofessional. were performers The disaster. a was event This,Gemini-1.5-Flash,negative
54,it. watching regret I terrible. was movie The,Gemini-1.5-Flash,negative
55,repair. of need desperate in and run-down was venue The,Gemini-1.5-Flash,negative
56,disappointed. so I'm letdown. complete a was event This,Gemini-1.5-Flash,negative
57,"dialogue. terrible had and predictable, boring, was movie The",Gemini-1.5-Flash,negative
58,nightmare. a was It chaotic. and overcrowded was venue The,Gemini-1.5-Flash,negative
59,service. customer any lacked and managed poorly was event This,Gemini-1.5-Flash,negative
60,plot. the follow couldn't I mess. complete a was movie The,Gemini-1.5-Flash,negative
61,unbearable. was temperature the and uncomfortable was venue The,Gemini-1.5-Flash,negative
62,angry. so I'm money. and time of waste a was event This,Gemini-1.5-Flash,negative
63,"through. halfway out walked I bad, so was movie The",Gemini-1.5-Flash,negative
64,navigate. to difficult and lit poorly was venue The,Gemini-1.5-Flash,negative
65,frustrated. so I'm failure. complete a was event This,Gemini-1.5-Flash,negative
66,creativity. any lacked and unoriginal was movie The,Gemini-1.5-Flash,negative
67,standards. hygiene basic lacked and dirty was venue The,Gemini-1.5-Flash,negative
68,upset. so I'm disappointment. total a was event This,Gemini-1.5-Flash,negative
69,it. watching bother Don't time. of waste complete a was movie The,Gemini-1.5-Flash,negative
70,special. anything offer didn't and expensive was venue The,Gemini-1.5-Flash,negative
71,mess. a was It chaotic. and organized poorly was event This,Gemini-1.5-Flash,negative
72,qualities. redeeming no had and boring was movie The,Gemini-1.5-Flash,negative
73,disabilities. with those to inaccessible was venue The,Gemini-1.5-Flash,negative
74,refund. a demanding I'm rip-off. complete a was event This,Gemini-1.5-Flash,negative
75,excitement. any lacked and slow-paced was movie The,Gemini-1.5-Flash,negative
76,ventilation. proper lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
77,disappointed. so I'm disaster. total a was event This,Gemini-1.5-Flash,negative
78,edited. poorly and confusing was movie The,Gemini-1.5-Flash,negative
79,"event. the ruining disruptive, and noisy was venue The",Gemini-1.5-Flash,negative
80,money. and time my of waste complete a was event This,Gemini-1.5-Flash,negative
81,suspense. any lacked and predictable was movie The,Gemini-1.5-Flash,negative
82,renovation. of need in and maintained poorly was venue The,Gemini-1.5-Flash,negative
83,angry. so I'm letdown. total a was event This,Gemini-1.5-Flash,negative
84,effects. special terrible had and boring was movie The,Gemini-1.5-Flash,negative
85,advertised. poorly and find to difficult was venue The,Gemini-1.5-Flash,negative
86,going. regret I failure. complete a was event This,Gemini-1.5-Flash,negative
87,originality. any lacked and uninspired was movie The,Gemini-1.5-Flash,negative
88,amenities. basic lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
89,frustrated. so I'm disappointment. complete a was event This,Gemini-1.5-Flash,negative
90,money. and time my of waste complete a was movie The,Gemini-1.5-Flash,negative
91,disaster. a was It understaffed. and overpriced was venue The,Gemini-1.5-Flash,negative
92,value. entertainment any lacked and organized poorly was event This,Gemini-1.5-Flash,negative
93,acting. terrible had and boring was movie The,Gemini-1.5-Flash,negative
94,bad. smelled and dirty was venue The,Gemini-1.5-Flash,negative
95,upset. so I'm letdown. complete a was event This,Gemini-1.5-Flash,negative
96,follow. to difficult and confusing was movie The,Gemini-1.5-Flash,negative
97,navigate. to difficult and inaccessible was venue The,Gemini-1.5-Flash,negative
98,time. my of waste total a was event This,Gemini-1.5-Flash,negative
99,predictable. and unoriginal was movie The,Gemini-1.5-Flash,negative
100,seating. proper lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
101,angry. so I'm disappointment. complete a was event This,Gemini-1.5-Flash,negative
102,plot. terrible a had and boring was movie The,Gemini-1.5-Flash,negative
103,disrepair. in and maintained poorly was venue The,Gemini-1.5-Flash,negative
104,frustrated. so I'm failure. complete a was event This,Gemini-1.5-Flash,negative
105,money. and time of waste a was movie The,Gemini-1.5-Flash,negative
106,uncomfortable. and overcrowded was venue The,Gemini-1.5-Flash,negative
107,disappointed. so I'm letdown. total a was event This,Gemini-1.5-Flash,negative
108,disappointed. so I'm week. a only after broke It garbage. is product This,Gemini-1.5-Flash,negative
109,awful. was acting the and nonsensical was plot The time. of waste complete a was movie The,Gemini-1.5-Flash,negative
110,"terrible. were performers the and overpriced, organized, Poorly event! terrible a What",Gemini-1.5-Flash,negative
111,"rude. incredibly were staff the and smelly, Dirty, dump. a is venue This",Gemini-1.5-Flash,negative
112,terrible. is service customer the and advertised as work doesn't It product! this hate I,Gemini-1.5-Flash,negative
113,dry. paint watched and home stayed have could I predictable. and boring was movie The,Gemini-1.5-Flash,negative
114,angry. and off ripped feeling left I letdown. complete a was event This,Gemini-1.5-Flash,negative
115,event. the enjoy even couldn't I uncomfortable. and overcrowded was venue The,Gemini-1.5-Flash,negative
116,money! your waste Don't immediately. apart fell and made cheaply is product This,Gemini-1.5-Flash,negative
117,"time. of waste Total asleep. fell almost I boring, and slow so was movie The",Gemini-1.5-Flash,negative
118,on. going was what knew one No mess. disorganized a was event This,Gemini-1.5-Flash,negative
119,leave. to wait couldn't I awful. smelled and dirty was venue The,Gemini-1.5-Flash,negative
120,back! money my want I all. at work doesn't It scam! a is product This,Gemini-1.5-Flash,negative
121,furious. I'm plot. nonsensical a and effects special terrible had movie The,Gemini-1.5-Flash,negative
122,time. of waste complete A reality. in worse even and advertised poorly was event This,Gemini-1.5-Flash,negative
123,cheated. felt I offered. it what for expensive too far was venue The,Gemini-1.5-Flash,negative
124,junk. of piece useless a with stuck I'm and defective is product This,Gemini-1.5-Flash,negative
125,time. entire the lost was I written. poorly and confusing was movie The,Gemini-1.5-Flash,negative
126,attending. regret I failure. complete a was event This,Gemini-1.5-Flash,negative
127,anything. on focus couldn't I distracting. and noisy was venue The,Gemini-1.5-Flash,negative
128,disappointing. Very uses. few a only after working stopped product This,Gemini-1.5-Flash,negative
129,better. seen I've cliché. and predictable was movie The,Gemini-1.5-Flash,negative
130,more. much so expected I disappointing. and underwhelming was event This,Gemini-1.5-Flash,negative
131,disgusted. I'm unclean. and maintained poorly was venue The,Gemini-1.5-Flash,negative
132,terrible. is quality The rip-off. complete a is product This,Gemini-1.5-Flash,negative
133,disappointed. so I'm substance. any lacked and boring was movie The,Gemini-1.5-Flash,negative
134,creativity. any lacked and executed poorly was event This,Gemini-1.5-Flash,negative
135,miserable. was I amenities. basic lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
136,advertising! False described. as work doesn't product This,Gemini-1.5-Flash,negative
137,bother. Don't money. and time of waste complete a was movie The,Gemini-1.5-Flash,negative
138,value. entertainment real any lacked and disorganized was event This,Gemini-1.5-Flash,negative
139,it. missed almost I signposted. poorly and to get to difficult was venue The,Gemini-1.5-Flash,negative
140,angry. so I'm easily. broke and made cheaply is product This,Gemini-1.5-Flash,negative
141,"mad. so I'm insulting. was it predictable, so was movie The",Gemini-1.5-Flash,negative
142,angry. so I'm letdown. huge a was event This,Gemini-1.5-Flash,negative
143,chaos. was It understaffed. and overpriced was venue The,Gemini-1.5-Flash,negative
144,it. buying regret I money. of waste total a is product This,Gemini-1.5-Flash,negative
145,it. see to paid I believe can't I bad. plain just was movie The,Gemini-1.5-Flash,negative
146,frustrated. so I'm evening. my of waste complete a was event This,Gemini-1.5-Flash,negative
147,"unpleasant. event the making uncomfortable, and cramped was venue The",Gemini-1.5-Flash,negative
148,it. with unhappy extremely I'm and faulty is product This,Gemini-1.5-Flash,negative
149,upset. so I'm disappointment. complete a was movie The,Gemini-1.5-Flash,negative
150,hype. the to up live didn't and advertised poorly was event This,Gemini-1.5-Flash,negative
151,"dangerous. was it Seriously, hazard. fire a was venue The",Gemini-1.5-Flash,negative
152,do. to supposed it's what do doesn't It useless. is product This,Gemini-1.5-Flash,negative
153,"acting. terrible had and boring, slow, was movie The",Gemini-1.5-Flash,negative
154,back. go never I'll disaster. total a was event This,Gemini-1.5-Flash,negative
155,"terrible. was sound the and dirty, small, was venue The",Gemini-1.5-Flash,negative
156,it! Avoid last. doesn't and made cheaply is product This,Gemini-1.5-Flash,negative
157,plot. coherent a lacked and confusing was movie The,Gemini-1.5-Flash,negative
158,direction. clear any lacked and organized poorly was event This,Gemini-1.5-Flash,negative
159,seating. adequate lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
160,refund! a demand I scam! a is product This,Gemini-1.5-Flash,negative
161,originality. any lacked and predictable was movie The,Gemini-1.5-Flash,negative
162,unprofessional. were performers The disaster. a was event This,Gemini-1.5-Flash,negative
163,parking. proper lacked and access to difficult was venue The,Gemini-1.5-Flash,negative
164,disappointed. very I'm and broken is product This,Gemini-1.5-Flash,negative
165,it. watching regret I terrible. was movie The,Gemini-1.5-Flash,negative
166,disappointed. so I'm letdown. complete a was event This,Gemini-1.5-Flash,negative
167,repair. of need desperate in and run-down was venue The,Gemini-1.5-Flash,negative
168,it! buy Don't money. of waste a is product This,Gemini-1.5-Flash,negative
169,"dialogue. terrible had and predictable, boring, was movie The",Gemini-1.5-Flash,negative
170,service. customer any lacked and managed poorly was event This,Gemini-1.5-Flash,negative
171,nightmare. a was It chaotic. and overcrowded was venue The,Gemini-1.5-Flash,negative
172,properly. function doesn't and defective is product This,Gemini-1.5-Flash,negative
173,plot. the follow couldn't I mess. complete a was movie The,Gemini-1.5-Flash,negative
174,angry. so I'm money. and time of waste a was event This,Gemini-1.5-Flash,negative
175,unbearable. was temperature the and uncomfortable was venue The,Gemini-1.5-Flash,negative
176,Unbelievable! use. one only after working stopped product This,Gemini-1.5-Flash,negative
177,"through. halfway out walked I bad, so was movie The",Gemini-1.5-Flash,negative
178,frustrated. so I'm failure. complete a was event This,Gemini-1.5-Flash,negative
179,navigate. to difficult and lit poorly was venue The,Gemini-1.5-Flash,negative
180,work. doesn't and made cheaply It's junk. is product This,Gemini-1.5-Flash,negative
181,creativity. any lacked and unoriginal was movie The,Gemini-1.5-Flash,negative
182,upset. so I'm disappointment. total a was event This,Gemini-1.5-Flash,negative
183,standards. hygiene basic lacked and dirty was venue The,Gemini-1.5-Flash,negative
184,bother. Don't time. of waste complete a is product This,Gemini-1.5-Flash,negative
185,excitement. any lacked and slow-paced was movie The,Gemini-1.5-Flash,negative
186,disappointed. so I'm disaster. total a was event This,Gemini-1.5-Flash,negative
187,special. anything offer didn't and expensive was venue The,Gemini-1.5-Flash,negative
188,it. buying regret I and useless is product This,Gemini-1.5-Flash,negative
189,edited. poorly and confusing was movie The,Gemini-1.5-Flash,negative
190,money. and time my of waste complete a was event This,Gemini-1.5-Flash,negative
191,"event. the ruining disruptive, and noisy was venue The",Gemini-1.5-Flash,negative
192,unhappy. very I'm and quality terrible is product This,Gemini-1.5-Flash,negative
193,suspense. any lacked and predictable was movie The,Gemini-1.5-Flash,negative
194,angry. so I'm letdown. total a was event This,Gemini-1.5-Flash,negative
195,renovation. of need in and maintained poorly was venue The,Gemini-1.5-Flash,negative
196,refund. a demanding I'm and faulty is product This,Gemini-1.5-Flash,negative
197,effects. special terrible had and boring was movie The,Gemini-1.5-Flash,negative
198,going. regret I failure. complete a was event This,Gemini-1.5-Flash,negative
199,advertised. poorly and find to difficult was venue The,Gemini-1.5-Flash,negative
200,outrageous. is price The rip-off. complete a is product This,Gemini-1.5-Flash,negative
201,originality. any lacked and uninspired was movie The,Gemini-1.5-Flash,negative
202,frustrated. so I'm disappointment. complete a was event This,Gemini-1.5-Flash,negative
203,amenities. basic lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
204,money. hard-earned my of waste a is product This,Gemini-1.5-Flash,negative
205,money. and time my of waste complete a was movie The,Gemini-1.5-Flash,negative
206,value. entertainment any lacked and organized poorly was event This,Gemini-1.5-Flash,negative
207,disaster. a was It understaffed. and overpriced was venue The,Gemini-1.5-Flash,negative
208,easily. apart falls and made cheaply is product This,Gemini-1.5-Flash,negative
209,acting. terrible had and boring was movie The,Gemini-1.5-Flash,negative
210,upset. so I'm letdown. complete a was event This,Gemini-1.5-Flash,negative
211,bad. smelled and dirty was venue The,Gemini-1.5-Flash,negative
212,replacement. a requesting I'm and defective is product This,Gemini-1.5-Flash,negative
213,follow. to difficult and confusing was movie The,Gemini-1.5-Flash,negative
214,time. my of waste total a was event This,Gemini-1.5-Flash,negative
215,navigate. to difficult and inaccessible was venue The,Gemini-1.5-Flash,negative
216,better. expected I disappointment. a is product This,Gemini-1.5-Flash,negative
217,predictable. and unoriginal was movie The,Gemini-1.5-Flash,negative
218,angry. so I'm disappointment. complete a was event This,Gemini-1.5-Flash,negative
219,seating. proper lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
220,use. to difficult and designed poorly is product This,Gemini-1.5-Flash,negative
221,plot. terrible a had and boring was movie The,Gemini-1.5-Flash,negative
222,frustrated. so I'm failure. complete a was event This,Gemini-1.5-Flash,negative
223,disrepair. in and maintained poorly was venue The,Gemini-1.5-Flash,negative
224,money. and time of waste a is product This,Gemini-1.5-Flash,negative
225,"guess. I job, the did It special. nothing okay, was product The",Gemini-1.5-Flash,neutral
226,"either. terrible wasn't it but amazing, wasn't It alright. was movie The",Gemini-1.5-Flash,neutral
227,"fine. was it but organized, better been have Could decent. was event The",Gemini-1.5-Flash,neutral
228,"purpose. its served it but about, home write to Nothing average. was venue The",Gemini-1.5-Flash,neutral
229,"great. not bad, Not product. standard pretty a was It",Gemini-1.5-Flash,neutral
230,"worse. seen I've but better, seen I've watchable. was movie The",Gemini-1.5-Flash,neutral
231,memorable. particularly Nothing acceptable. was event The,Gemini-1.5-Flash,neutral
232,"functional. was it but luxurious, wasn't It adequate. was venue The",Gemini-1.5-Flash,neutral
233,"suppose. I expectations, my Met product. run-of-the-mill pretty a was It",Gemini-1.5-Flash,neutral
234,again. it see to rush wouldn't I passable. was movie The,Gemini-1.5-Flash,neutral
235,"about. excited get to nothing okay, was event The",Gemini-1.5-Flash,neutral
236,"more. nothing but job, the did It satisfactory. was venue The",Gemini-1.5-Flash,neutral
237,"impressive. wasn't but intended, as worked It functional. was product The",Gemini-1.5-Flash,neutral
238,films. better seen I've okay. just was movie The,Gemini-1.5-Flash,neutral
239,"fine. was it but special, Nothing standard. pretty was event The",Gemini-1.5-Flash,neutral
240,"nice. was which to, get to Easy convenient. was venue The",Gemini-1.5-Flash,neutral
241,"do. to needed it what did It effective. but simple, was product The",Gemini-1.5-Flash,neutral
242,"disaster. a not but masterpiece, a Not entertaining. mildly was movie The",Gemini-1.5-Flash,neutral
243,"either. great wasn't it but bad, wasn't It alright. was event The",Gemini-1.5-Flash,neutral
244,say. can I all about That's tidy. and clean was venue The,Gemini-1.5-Flash,neutral
245,"bad. or good surprises, No expected. as was product The",Gemini-1.5-Flash,neutral
246,"time. the passed it but remarkable, Nothing killer. time decent a was movie The",Gemini-1.5-Flash,neutral
247,plus. a was That priced. reasonably was event The,Gemini-1.5-Flash,neutral
248,there. complaints No enough. spacious was venue The,Gemini-1.5-Flash,neutral
249,"complaints. no issues, No fine. worked product The",Gemini-1.5-Flash,neutral
250,memorable. particularly Nothing film. average an was movie The,Gemini-1.5-Flash,neutral
251,"guess. I sign, good a That's well-attended. was event The",Gemini-1.5-Flash,neutral
252,positive. a was That acoustics. good had venue The,Gemini-1.5-Flash,neutral
253,"features. lacks but functional, It's basic. pretty was product The",Gemini-1.5-Flash,neutral
254,"terrible. wasn't it but slow, bit a was movie The",Gemini-1.5-Flash,neutral
255,signage. better used have could event The,Gemini-1.5-Flash,neutral
256,helpful. That's find. to easy was venue The,Gemini-1.5-Flash,neutral
257,"well. worked it but pricey, bit a was product The",Gemini-1.5-Flash,neutral
258,"enough. enjoyable but predictable, was movie The",Gemini-1.5-Flash,neutral
259,"okay. overall but disorganized, bit a was event The",Gemini-1.5-Flash,neutral
260,"manageable. but cramped, bit a was venue The",Gemini-1.5-Flash,neutral
261,"better. seen I've but okay, was product The",Gemini-1.5-Flash,neutral
262,"unbearable. not but long, bit a was movie The",Gemini-1.5-Flash,neutral
263,"special. nothing but decent, was event The",Gemini-1.5-Flash,neutral
264,enough. comfortable and clean was venue The,Gemini-1.5-Flash,neutral
265,"worked. it but amazing, wasn't It needs. basic my met product The",Gemini-1.5-Flash,neutral
266,about. rave to Nothing movie. so-so a was movie The,Gemini-1.5-Flash,neutral
267,okay. was It uneventful. pretty was event The,Gemini-1.5-Flash,neutral
268,plus. a was That located. conveniently was venue The,Gemini-1.5-Flash,neutral
269,value. bad Not price. the for alright was product The,Gemini-1.5-Flash,neutral
270,"entertaining. but cheesy, bit a was movie The",Gemini-1.5-Flash,neutral
271,"boring. bit a but well-organized, was event The",Gemini-1.5-Flash,neutral
272,clean. and modern was venue The,Gemini-1.5-Flash,neutral
273,plus. a That's use. to simple was product The,Gemini-1.5-Flash,neutral
274,viewing. casual a for okay was movie The,Gemini-1.5-Flash,neutral
275,"great. wasn't it but bad, wasn't It average. was event The",Gemini-1.5-Flash,neutral
276,there. complaints No priced. fairly was venue The,Gemini-1.5-Flash,neutral
277,well. up held It enough. durable was product The,Gemini-1.5-Flash,neutral
278,groundbreaking. Nothing film. action typical a was movie The,Gemini-1.5-Flash,neutral
279,"manageable. but crowded, bit a was event The",Gemini-1.5-Flash,neutral
280,convenient. was That parking. adequate had venue The,Gemini-1.5-Flash,neutral
281,helpful. was That assemble. to easy was product The,Gemini-1.5-Flash,neutral
282,"enjoyable. still but predictable, bit a was movie The",Gemini-1.5-Flash,neutral
283,on. drag didn't It well-paced. was event The,Gemini-1.5-Flash,neutral
284,to. get to Easy accessible. was venue The,Gemini-1.5-Flash,neutral
285,money. the for value decent a was product The,Gemini-1.5-Flash,neutral
286,evening. an spend to way good a was movie The,Gemini-1.5-Flash,neutral
287,afternoon. an spend to way nice a was It enough. pleasant was event The,Gemini-1.5-Flash,neutral
288,well-maintained. and clean was venue The,Gemini-1.5-Flash,neutral
289,job. its did It reliable. and functional was product The,Gemini-1.5-Flash,neutral
290,"fine. was it but amazing, was it say wouldn't I watch. decent a was movie The",Gemini-1.5-Flash,neutral
291,"better. been have could but okay, was event The",Gemini-1.5-Flash,neutral
292,"special. nothing alright, was venue The",Gemini-1.5-Flash,neutral
293,"worked. it but underwhelming, bit a was product The",Gemini-1.5-Flash,neutral
294,"good. was story the but slow-paced, bit a was movie The",Gemini-1.5-Flash,neutral
295,"pricey. bit a but well-organized, was event The",Gemini-1.5-Flash,neutral
296,"nice. was it but out, far bit a was venue The",Gemini-1.5-Flash,neutral
297,"well. worked it but use, to complicated bit a was product The",Gemini-1.5-Flash,neutral
298,"great. wasn't it but bad, wasn't It guess. I okay, was movie The",Gemini-1.5-Flash,neutral
299,"short. bit a but enjoyable, was event The",Gemini-1.5-Flash,neutral
300,modern. and clean was venue The,Gemini-1.5-Flash,neutral
301,needs. my met It option. decent a was product The,Gemini-1.5-Flash,neutral
302,memorable. particularly Nothing film. average an was movie The,Gemini-1.5-Flash,neutral
303,"good. was atmosphere the but crowded, bit a was event The",Gemini-1.5-Flash,neutral
304,at. park and find to easy was venue The,Gemini-1.5-Flash,neutral
305,effective. and use to simple was product The,Gemini-1.5-Flash,neutral
306,"nonetheless. entertaining but predictable, bit a was movie The",Gemini-1.5-Flash,neutral
307,smoothly. ran and well-organized was event The,Gemini-1.5-Flash,neutral
308,spacious. and comfortable was venue The,Gemini-1.5-Flash,neutral
309,price. the worth was It money. the for value good a was product The,Gemini-1.5-Flash,neutral
310,"special. nothing but okay, was movie The",Gemini-1.5-Flash,neutral
311,"okay. was it but underwhelming, bit a was event The",Gemini-1.5-Flash,neutral
312,well-maintained. and clean was venue The,Gemini-1.5-Flash,neutral
313,reliable. and functional was product The,Gemini-1.5-Flash,neutral
314,"watchable. was it but amazing, wasn't It watch. decent a was movie The",Gemini-1.5-Flash,neutral
315,"overpriced. bit a but okay, was event The",Gemini-1.5-Flash,neutral
316,"okay. otherwise but noisy, bit a was venue The",Gemini-1.5-Flash,neutral
317,"worked. it but flimsy, bit a was product The",Gemini-1.5-Flash,neutral
318,"good. was acting the but slow, bit a was movie The",Gemini-1.5-Flash,neutral
319,"boring. bit a but well-organized, was event The",Gemini-1.5-Flash,neutral
320,located. conveniently was venue The,Gemini-1.5-Flash,neutral
321,"tool. effective simple, a was product The",Gemini-1.5-Flash,neutral
322,afternoon. Sunday lazy a for okay was movie The,Gemini-1.5-Flash,neutral
323,"about. home write to nothing average, was event The",Gemini-1.5-Flash,neutral
324,comfortable. and clean was venue The,Gemini-1.5-Flash,neutral
325,do. to supposed was it what did It purchase. decent a was product The,Gemini-1.5-Flash,neutral
326,"enjoyable. still but predictable, bit a was movie The",Gemini-1.5-Flash,neutral
327,"crowded. bit a but well-attended, was event The",Gemini-1.5-Flash,neutral
328,to. get to easy and accessible was venue The,Gemini-1.5-Flash,neutral
329,price. the for value good a was product The,Gemini-1.5-Flash,neutral
330,evening. an spend to way decent a was movie The,Gemini-1.5-Flash,neutral
331,time. some spend to way nice a was It enough. pleasant was event The,Gemini-1.5-Flash,neutral
332,well-maintained. and clean was venue The,Gemini-1.5-Flash,neutral
333,job. its did It reliable. and functional was product The,Gemini-1.5-Flash,neutral
334,"fine. was it but amazing, wasn't It watch. decent a was movie The",Gemini-1.5-Flash,neutral
335,"better. been have could but okay, was event The",Gemini-1.5-Flash,neutral
336,"special. nothing alright, was venue The",Gemini-1.5-Flash,neutral
337,"worked. it but underwhelming, bit a was product The",Gemini-1.5-Flash,neutral
338,"good. was story the but slow-paced, bit a was movie The",Gemini-1.5-Flash,neutral
339,"pricey. bit a but well-organized, was event The",Gemini-1.5-Flash,neutral
340,"nice. was it but out, far bit a was venue The",Gemini-1.5-Flash,neutral
341,"well. worked it but use, to complicated bit a was product The",Gemini-1.5-Flash,neutral
342,"great. wasn't it but bad, wasn't It guess. I okay, was movie The",Gemini-1.5-Flash,neutral
343,"short. bit a but enjoyable, was event The",Gemini-1.5-Flash,neutral
344,modern. and clean was venue The,Gemini-1.5-Flash,neutral
345,needs. my met It option. decent a was product The,Gemini-1.5-Flash,neutral
346,memorable. particularly Nothing film. average an was movie The,Gemini-1.5-Flash,neutral
347,"good. was atmosphere the but crowded, bit a was event The",Gemini-1.5-Flash,neutral
348,at. park and find to easy was venue The,Gemini-1.5-Flash,neutral
349,effective. and use to simple was product The,Gemini-1.5-Flash,neutral
350,"nonetheless. entertaining but predictable, bit a was movie The",Gemini-1.5-Flash,neutral
351,smoothly. ran and well-organized was event The,Gemini-1.5-Flash,neutral
352,spacious. and comfortable was venue The,Gemini-1.5-Flash,neutral
353,price. the worth was It money. the for value good a was product The,Gemini-1.5-Flash,neutral
354,"special. nothing but okay, was movie The",Gemini-1.5-Flash,neutral
355,"okay. was it but underwhelming, bit a was event The",Gemini-1.5-Flash,neutral
356,well-maintained. and clean was venue The,Gemini-1.5-Flash,neutral
357,reliable. and functional was product The,Gemini-1.5-Flash,neutral
358,"to. get to easy and nice was venue the but taste, my for loud bit a alright, was concert The",Gemini-1.5-Flash,neutral
359,"decent. was acting The time. of waste a wasn't it but better, seen I've movie, good Pretty",Gemini-1.5-Flash,neutral
360,"again. it buy might I special. nothing to, supposed it's what does okay, is product This",Gemini-1.5-Flash,neutral
361,"fresh. were toppings the but thin, too bit a was crust The average. just was pizza The",Gemini-1.5-Flash,neutral
362,"organized. better been have could it but things, few a learned I interesting. was event new That",Gemini-1.5-Flash,neutral
